Lifetime Energy (MJ),Difference % (lifetime energy),Growth cost % (age 1),Difference % (growth age 1),Growth cost % (age 12),Difference % (growth age 12),Annual Reproduction Cost %,Difference % (annual reproduction cost),Reproduction Cost (% liver stores),Difference % (reproductive use of liver stores)
27006.02273561713,0,2.6383832333712913,0,0.5072958080415336,0,2.2825070485974654,0,36.79019854623489,0
33694.682888808806,24.76729068427494,2.127461989812123,-19.364936719459052,0.4064521433541016,-19.878671001983847,2.2018330943493023,-3.53444491213007,30.51053695816949,-17.06884397531489
20317.36258242545,-24.76729068427497,3.472266354291268,31.605837634680995,0.6746915837957737,32.997665878708574,2.4169636390110685,5.890741520216665,46.32472807103838,25.91595017575476
27670.862673897736,2.461820997446523,2.576870819652007,-2.3314434742175223,0.4950863023232178,-2.4067823003410638,2.272726544794093,-0.42849829573943055,36.052631792143785,-2.004791447820523
26172.62734160983,-3.085961239705867,2.719766619548467,3.0845930624409306,0.5234784711313163,3.1899855731624314,2.295475812505095,0.5681806728964318,37.75850573011446,2.6319705305821515
33694.682888808806,24.76729068427494,2.1274619898121223,-19.36493671945908,0.4064521433541015,-19.878671001983875,2.2018330943493023,-3.53444491213007,30.51053695816949,-17.06884397531489
20317.362582425452,-24.767290684274954,3.472266354291268,31.605837634680995,0.6746915837957737,32.997665878708574,2.416963639011069,5.890741520216693,46.32472807103837,25.915950175754745
23799.048754410986,-11.875032516271261,2.735853851233735,3.69433130978085,0.5788430730188027,14.10365783495915,2.665552837478804,16.78180092003261,35.983675244474966,-2.1922232921530735
30665.25381295378,13.549685243027795,2.5442477319806978,-3.567923726922288,0.4445328779991968,-12.37205769246141,1.9562470213526362,-14.293932956102225,37.58131826252494,2.150354571465101
47017.05876987415,74.09841956425998,1.5352888243534542,-41.809483742371945,0.29116724598461485,-42.604050463437645,2.1099050976334217,-7.5619460220332115,22.769486509965308,-38.10991130871313
15557.710302833284,-42.391701084088695,4.479807387163469,69.79365736186969,0.8817324904052619,73.8103245538887,2.584206000351584,13.217876016615321,56.79959372186062,54.38784232294796
33694.682888808806,24.76729068427494,2.1274619898121223,-19.36493671945908,0.4064521433541016,-19.878671001983847,1.826005638877972,-20.000000000000014,36.79019854623489,0
20317.36258242545,-24.76729068427497,3.4722663542912673,31.605837634680967,0.6746915837957737,32.997665878708574,3.043342731463287,33.333333333333314,36.79019854623489,0
30798.357843171878,14.042553191489375,2.3135076859785575,-12.313432835820905,0.4448302794394044,-12.313432835820919,2.0014520761955383,-12.313432835820919,36.79019854623489,0
24045.229545333525,-10.96345514950167,2.963258780764025,12.31343283582089,0.5697613366436628,12.31343283582089,2.5635620209993917,12.313432835820876,36.79019854623489,0
